Formation Energy,E Above Hull,Band Gap,Nsites,Density,Volume,Crystal System
-2.847,0.069,0.0,38,2.897,472.42,triclinic
-2.439,0.057,0.23,15,3.0239999999999996,177.312,triclinic
-2.418,0.078,0.147,30,3.003,357.07800000000003,monoclinic
-2.69,0.077,3.0869999999999997,64,3.128,751.301,orthorhombic
-2.352,0.083,1.367,28,2.935,357.496,orthorhombic
-2.5980000000000003,0.051,2.01,48,2.911,654.481,monoclinic
-2.371,0.065,1.3980000000000001,28,2.985,351.44599999999997,orthorhombic
-2.61,0.05,2.045,45,3.062,590.331,triclinic
-2.842,0.091,2.499,68,2.5639999999999996,894.0989999999999,monoclinic
-2.6069999999999998,0.02,2.957,32,2.986,359.98900000000003,orthorhombic
-2.8680000000000003,0.085,3.261,28,2.628,355.18,monoclinic
-2.5269999999999997,0.01,2.8,16,3.1039999999999996,176.442,orthorhombic
-2.6039999999999996,0.018000000000000002,2.9610000000000003,28,2.89,355.97900000000004,orthorhombic
-2.61,0.012,3.0260000000000002,28,2.852,360.726,monoclinic
-2.4330000000000003,0.063,0.541,30,3.092,346.722,monoclinic
-2.332,0.10400000000000001,1.5519999999999998,14,2.7239999999999998,192.593,monoclinic
-2.858,0.075,3.273,68,2.37,967.2130000000001,orthorhombic
-2.946,0.02,3.286,44,3.009,521.131,triclinic
-2.904,0.05,3.1519999999999997,100,2.6510000000000002,1338.234,orthorhombic
-2.6319999999999997,0.046,0.99,28,3.5980000000000003,284.22700000000003,orthorhombic
-2.5980000000000003,0.094,2.082,128,2.655,1374.684,orthorhombic
-2.436,0.059000000000000004,0.35,30,3.052,351.32300000000004,monoclinic
-2.571,0.055999999999999994,2.78,64,2.875,747.562,orthorhombic
-2.58,0.098,0.995,28,3.2939999999999996,310.44,triclinic
-2.537,0.0,2.957,16,3.216,170.265,monoclinic
-2.755,0.019,2.346,46,3.4810000000000003,528.536,triclinic
-2.528,0.094,2.351,28,3.0580000000000003,336.42699999999996,monoclinic
-2.69,0.031,0.0,25,3.4339999999999997,302.156,triclinic
-2.603,0.07400000000000001,1.0590000000000002,28,3.325,307.52,orthorhombic
-2.82,0.0,2.7030000000000003,20,3.287,217.18599999999998,monoclinic
-2.6210000000000004,0.005,3.089,32,3.049,352.51800000000003,orthorhombic
-2.376,0.06,1.281,112,2.998,1399.85,monoclinic
-2.699,0.006,3.4619999999999997,16,2.9930000000000003,178.513,monoclinic
-2.89,0.095,0.332,48,2.555,621.599,monoclinic
-2.356,0.071,1.851,14,3.787,122.581,triclinic
-2.785,0.098,0.03,36,2.7880000000000003,426.538,monoclinic
-2.585,0.039,1.626,15,2.951,178.21,triclinic
-2.764,0.083,3.248,64,2.436,959.6189999999999,orthorhombic
-2.8680000000000003,0.059000000000000004,3.215,26,2.59,352.651,monoclinic
-2.6010000000000004,0.02,2.904,28,2.873,358.05699999999996,monoclinic
-2.6910000000000003,0.057,2.512,52,2.89,562.749,orthorhombic
-2.539,0.083,1.791,56,2.96,694.96,orthorhombic
-2.824,0.036000000000000004,0.037000000000000005,80,3.343,850.6260000000001,orthorhombic
-2.694,0.011000000000000001,2.965,32,2.926,365.204,orthorhombic
-2.6180000000000003,0.009000000000000001,2.946,32,3.01,357.06300000000005,orthorhombic
-2.7060000000000004,0.092,2.938,34,2.7539999999999996,379.735,monoclinic
-2.4819999999999998,0.051,2.23,45,3.2039999999999997,568.378,triclinic
-2.3480000000000003,0.087,1.3330000000000002,14,2.451,214.044,triclinic
-2.574,0.094,2.842,64,3.2489999999999997,735.8939999999999,orthorhombic
-2.569,0.052000000000000005,2.833,28,2.8689999999999998,358.537,orthorhombic
-2.553,0.069,2.164,56,3.2889999999999997,625.575,monoclinic
-2.6689999999999996,0.07200000000000001,2.883,22,2.947,253.565,monoclinic
-2.79,0.031,2.427,30,3.193,335.392,triclinic
-2.551,0.071,2.292,28,2.969,346.461,triclinic
-2.758,0.08199999999999999,3.073,34,2.702,383.352,monoclinic
-2.553,0.068,2.736,84,2.499,1234.971,monoclinic
-2.904,0.012,0.904,38,3.0980000000000003,441.74199999999996,triclinic
-2.369,0.067,1.59,14,2.998,174.957,monoclinic
-2.887,0.04,3.1439999999999997,52,2.69,679.1010000000001,monoclinic
